total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis,eps
0,0.0,0.0,1,-0.57,-0.45699999999999996,781,-0.10684601962566376,0.5541198253631592,-0.48464179039001465,-0.5031240582466125,0.3869820833206177,x,2.0
0,0.0,0.0,2,-0.45699999999999996,-0.344,42746,0.20580178499221802,0.9219201803207397,-0.37463387846946716,-0.37486228346824646,0.21564695239067078,x,2.0
0,0.0,0.0,3,-0.344,-0.23099999999999998,22276,0.20002105832099915,1.8885451555252075,-0.2761276364326477,-0.28788241744041443,0.947097659111023,x,2.0
0,0.0,0.0,4,-0.23099999999999998,-0.118,27268,0.27754318714141846,3.5778698921203613,-0.17333486676216125,-0.17230196297168732,1.038889765739441,x,2.0
0,0.0,0.0,5,-0.118,-0.0050000000000000044,27029,-0.24589568376541138,22.186357498168945,-0.04954851046204567,-0.06294813007116318,0.564568817615509,x,2.0
0,0.0,0.0,7,0.095,0.19,17027,0.38053372502326965,3.6945173740386963,0.17914606630802155,0.14015597105026245,0.5577594041824341,x,2.0
0,0.0,0.0,8,0.19,0.28500000000000003,14972,0.2742571532726288,1.4828269481658936,0.26003748178482056,0.23629502952098846,0.6272870302200317,x,2.0
0,0.0,0.0,9,0.28500000000000003,0.38,16535,0.05699116364121437,1.0511418581008911,0.3441774249076843,0.33823341131210327,0.3565484583377838,x,2.0
0,0.0,0.0,10,0.38,0.475,3547,-0.19572782516479492,0.5773861408233643,0.3955099880695343,0.3934490382671356,0.27085965871810913,x,2.0
0,0.0,0.0,11,0.475,0.57,363,0.044595442712306976,0.27114254236221313,0.5129994750022888,0.5122568011283875,0.05001317709684372,x,2.0
1,0.0,0.02631578947368421,1,-0.57,-0.45699999999999996,781,-0.10684601962566376,0.5541198253631592,-0.48464179039001465,-0.5031240582466125,0.3869820833206177,x,2.0
1,0.0,0.02631578947368421,2,-0.45699999999999996,-0.344,42746,0.20580178499221802,0.9219201803207397,-0.37463387846946716,-0.37486228346824646,0.21564695239067078,x,2.0
1,0.0,0.02631578947368421,3,-0.344,-0.23099999999999998,22276,0.20002105832099915,1.8885451555252075,-0.2761276364326477,-0.28788241744041443,0.947097659111023,x,2.0
1,0.0,0.02631578947368421,4,-0.23099999999999998,-0.118,27268,0.27754318714141846,3.5778698921203613,-0.17333486676216125,-0.17230196297168732,1.038889765739441,x,2.0
1,0.0,0.02631578947368421,5,-0.118,-0.0050000000000000044,27029,-0.24589568376541138,22.186357498168945,-0.04954851046204567,-0.06294813007116318,0.564568817615509,x,2.0
1,0.0,0.02631578947368421,7,0.095,0.19,17027,0.38053372502326965,3.6945173740386963,0.17914606630802155,0.14015597105026245,0.5577594041824341,x,2.0
1,0.0,0.02631578947368421,8,0.19,0.28500000000000003,14972,0.2742571532726288,1.4828269481658936,0.26003748178482056,0.23629502952098846,0.6272870302200317,x,2.0
1,0.0,0.02631578947368421,9,0.28500000000000003,0.38,16535,0.05699116364121437,1.0511418581008911,0.3441774249076843,0.33823341131210327,0.3565484583377838,x,2.0
1,0.0,0.02631578947368421,10,0.38,0.475,3547,-0.19572782516479492,0.5773861408233643,0.3955099880695343,0.3934490382671356,0.27085965871810913,x,2.0
1,0.0,0.02631578947368421,11,0.475,0.57,363,0.044595442712306976,0.27114254236221313,0.5129994750022888,0.5122568011283875,0.05001317709684372,x,2.0
2,0.02631578947368421,0.05263157894736842,1,-0.57,-0.45699999999999996,602,-0.1753397285938263,0.44672101736068726,-0.48156729340553284,-0.5059142112731934,0.4957958161830902,x,2.0
2,0.02631578947368421,0.05263157894736842,2,-0.45699999999999996,-0.344,26119,0.07378493994474411,0.7430337071418762,-0.371527761220932,-0.3735773265361786,0.34419485926628113,x,2.0
2,0.02631578947368421,0.05263157894736842,3,-0.344,-0.23099999999999998,17723,0.04475216567516327,1.2483997344970703,-0.27274975180625916,-0.28909191489219666,1.185285210609436,x,2.0
2,0.02631578947368421,0.05263157894736842,4,-0.23099999999999998,-0.118,21723,-0.07673613727092743,2.386030912399292,-0.1708531230688095,-0.1715628206729889,1.2991238832473755,x,2.0
2,0.02631578947368421,0.05263157894736842,5,-0.118,-0.0050000000000000044,22388,-1.4637503623962402,19.99370574951172,-0.045746516436338425,-0.06335854530334473,0.6777583956718445,x,2.0
2,0.02631578947368421,0.05263157894736842,7,0.095,0.19,12782,0.9867588877677917,2.5699853897094727,0.19327819347381592,0.1391230970621109,0.737392246723175,x,2.0
