total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis,eps
0,0.0,0.01,1,-0.57,-0.45699999999999996,1627,0.4781422019004822,0.8662687540054321,-0.5077345371246338,-0.5004745125770569,0.08489669859409332,x,0.001
0,0.0,0.01,2,-0.45699999999999996,-0.344,47672,0.41725894808769226,2.093278646469116,-0.37897250056266785,-0.37801358103752136,0.009815022349357605,x,0.001
0,0.0,0.01,3,-0.344,-0.23099999999999998,22009,-0.5399378538131714,2.375319719314575,-0.28403550386428833,-0.2879560589790344,0.020386623218655586,x,0.001
0,0.0,0.01,4,-0.23099999999999998,-0.118,21396,-1.1664223670959473,3.9300734996795654,-0.16984610259532928,-0.17468297481536865,0.018714576959609985,x,0.001
0,0.0,0.01,5,-0.118,-0.0050000000000000044,22051,-2.7629246711730957,36.33134460449219,-0.058369576930999756,-0.06116068735718727,0.018221501260995865,x,0.001
0,0.0,0.01,7,0.095,0.19,16851,-0.5017407536506653,7.610143661499023,0.14255380630493164,0.1424814760684967,0.014631897211074829,x,0.001
0,0.0,0.01,8,0.19,0.28500000000000003,16829,-0.4739338457584381,4.418973445892334,0.23778276145458221,0.23786179721355438,0.0165452491492033,x,0.001
0,0.0,0.01,9,0.28500000000000003,0.38,26308,-1.2715994119644165,2.8757996559143066,0.3405185341835022,0.3423592448234558,0.00726590259000659,x,0.001
0,0.0,0.01,10,0.38,0.475,5371,-1.16147780418396,2.7423722743988037,0.40255770087242126,0.4021390676498413,0.009178763255476952,x,0.001
0,0.0,0.01,11,0.475,0.57,1431,0.58732670545578,1.3093162775039673,0.5130638480186462,0.5080784559249878,0.022283421829342842,x,0.001
1,0.01,0.27263157894736845,1,-0.57,-0.45699999999999996,940,0.5001442432403564,0.6634544730186462,-0.5120542645454407,-0.5008708834648132,0.1419043093919754,x,0.001
1,0.01,0.27263157894736845,2,-0.45699999999999996,-0.344,3784,0.2797403037548065,3.4128191471099854,-0.39219701290130615,-0.3850686848163605,0.08302608877420425,x,0.001
1,0.01,0.27263157894736845,3,-0.344,-0.23099999999999998,3523,-1.4318922758102417,3.029630661010742,-0.27010759711265564,-0.29058218002319336,0.09683899581432343,x,0.001
1,0.01,0.27263157894736845,4,-0.23099999999999998,-0.118,3484,-2.5211784839630127,4.928220272064209,-0.14928828179836273,-0.17416058480739594,0.08486349880695343,x,0.001
1,0.01,0.27263157894736845,5,-0.118,-0.0050000000000000044,3869,-4.64365291595459,36.068206787109375,-0.04587707668542862,-0.0591760128736496,0.07605724036693573,x,0.001
1,0.01,0.27263157894736845,7,0.095,0.19,2357,1.8538267612457275,7.347569942474365,0.1487196832895279,0.1429433524608612,0.06996001303195953,x,0.001
1,0.01,0.27263157894736845,8,0.19,0.28500000000000003,2404,1.1002243757247925,3.690913677215576,0.24422694742679596,0.23633472621440887,0.08274761587381363,x,0.001
1,0.01,0.27263157894736845,9,0.28500000000000003,0.38,2569,0.1345277577638626,3.256361484527588,0.32606443762779236,0.32737600803375244,0.03213949874043465,x,0.001
1,0.01,0.27263157894736845,10,0.38,0.475,1225,0.24888241291046143,3.197941780090332,0.42920857667922974,0.42378517985343933,0.025962308049201965,x,0.001
1,0.01,0.27263157894736845,11,0.475,0.57,963,0.49212339520454407,1.2374188899993896,0.5181558728218079,0.5122044086456299,0.029143866151571274,x,0.001
2,0.27263157894736845,0.5352631578947369,1,-0.57,-0.45699999999999996,164,-0.06500937789678574,0.20883230865001678,-0.5005017518997192,-0.5091770887374878,0.5366955399513245,x,0.001
2,0.27263157894736845,0.5352631578947369,2,-0.45699999999999996,-0.344,156,0.14420989155769348,0.2762991786003113,-0.4730367362499237,-0.39374542236328125,1.343109130859375,x,0.001
2,0.27263157894736845,0.5352631578947369,3,-0.344,-0.23099999999999998,145,-0.13883060216903687,1.0949963331222534,-0.2571045458316803,-0.2946878969669342,1.5991196632385254,x,0.001
2,0.27263157894736845,0.5352631578947369,4,-0.23099999999999998,-0.118,120,-0.41780903935432434,2.27482533454895,-0.1351190209388733,-0.17439179122447968,1.509143352508545,x,0.001
2,0.27263157894736845,0.5352631578947369,5,-0.118,-0.0050000000000000044,138,0.9233779907226562,19.935022354125977,-0.15682074427604675,-0.06468029320240021,1.1353367567062378,x,0.001
2,0.27263157894736845,0.5352631578947369,7,0.095,0.19,79,0.2734602689743042,2.6160240173339844,0.051166191697120667,0.14590826630592346,1.1684907674789429,x,0.001
2,0.27263157894736845,0.5352631578947369,8,0.19,0.28500000000000003,155,0.3771415650844574,1.1580575704574585,0.19389784336090088,0.23382745683193207,0.7488942742347717,x,0.001
