total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis,eps
0,0.0,0.01,1,-0.57,-0.45699999999999996,1578,0.31726157665252686,0.7538154721260071,-0.5037163496017456,-0.4973573088645935,0.0353049635887146,x,0.001_0.01
0,0.0,0.01,2,-0.45699999999999996,-0.344,11915,-0.18960250914096832,5.564113616943359,-0.3790619671344757,-0.3772543668746948,0.009391097351908684,x,0.001_0.01
0,0.0,0.01,3,-0.344,-0.23099999999999998,16918,-1.2345844507217407,3.247567892074585,-0.2841607928276062,-0.28833088278770447,0.007777469232678413,x,0.001_0.01
0,0.0,0.01,4,-0.23099999999999998,-0.118,16052,-0.8925609588623047,5.512399673461914,-0.17191889882087708,-0.17481891810894012,0.008038708940148354,x,0.001_0.01
0,0.0,0.01,5,-0.118,-0.0050000000000000044,16338,-0.9094871282577515,43.25010681152344,-0.05819743499159813,-0.06052527576684952,0.008607367053627968,x,0.001_0.01
0,0.0,0.01,7,0.095,0.19,14555,-1.6492981910705566,9.413525581359863,0.14328110218048096,0.14257483184337616,0.00750670675188303,x,0.001_0.01
0,0.0,0.01,8,0.19,0.28500000000000003,14597,-1.5762288570404053,6.1889543533325195,0.23585215210914612,0.237269327044487,0.007947181351482868,x,0.001_0.01
0,0.0,0.01,9,0.28500000000000003,0.38,32899,-1.7086248397827148,5.234286308288574,0.35115179419517517,0.35391664505004883,0.005243649706244469,x,0.001_0.01
0,0.0,0.01,10,0.38,0.475,8559,-1.770616888999939,3.9639663696289062,0.39528653025627136,0.3960481286048889,0.007366216741502285,x,0.001_0.01
0,0.0,0.01,11,0.475,0.57,1458,0.389266699552536,1.261979341506958,0.5114280581474304,0.5091057419776917,0.028889181092381477,x,0.001_0.01
1,0.01,0.1109090909090909,1,-0.57,-0.45699999999999996,773,0.44671639800071716,0.4631817638874054,-0.5096269249916077,-0.49753743410110474,0.06516913324594498,x,0.001_0.01
1,0.01,0.1109090909090909,2,-0.45699999999999996,-0.344,2143,0.034640707075595856,4.821336269378662,-0.401737779378891,-0.3918505012989044,0.02998119592666626,x,0.001_0.01
1,0.01,0.1109090909090909,3,-0.344,-0.23099999999999998,2478,-3.1639935970306396,3.488982677459717,-0.2722323536872864,-0.2905859649181366,0.019040383398532867,x,0.001_0.01
1,0.01,0.1109090909090909,4,-0.23099999999999998,-0.118,2306,-4.535947799682617,7.557139873504639,-0.15747173130512238,-0.17467127740383148,0.02052449621260166,x,0.001_0.01
1,0.01,0.1109090909090909,5,-0.118,-0.0050000000000000044,2568,-14.037177085876465,58.90192794799805,-0.03818817436695099,-0.05672438070178032,0.023076074197888374,x,0.001_0.01
1,0.01,0.1109090909090909,7,0.095,0.19,2106,6.59245491027832,10.657255172729492,0.16326162219047546,0.1422768384218216,0.018176620826125145,x,0.001_0.01
1,0.01,0.1109090909090909,8,0.19,0.28500000000000003,1973,3.136791229248047,6.025158405303955,0.24925532937049866,0.23559054732322693,0.023036925122141838,x,0.001_0.01
1,0.01,0.1109090909090909,9,0.28500000000000003,0.38,2175,0.11516858637332916,5.572988510131836,0.33257463574409485,0.33584848046302795,0.021717272698879242,x,0.001_0.01
1,0.01,0.1109090909090909,10,0.38,0.475,1470,-0.4584026634693146,4.754388809204102,0.42670997977256775,0.4234970808029175,0.025493158027529716,x,0.001_0.01
1,0.01,0.1109090909090909,11,0.475,0.57,1116,0.1684868484735489,1.3464794158935547,0.5143977403640747,0.5124613046646118,0.03521157056093216,x,0.001_0.01
2,0.1109090909090909,0.21181818181818182,1,-0.57,-0.45699999999999996,177,0.3023947775363922,0.20633846521377563,-0.5235887169837952,-0.4921593964099884,0.20727241039276123,x,0.001_0.01
2,0.1109090909090909,0.21181818181818182,2,-0.45699999999999996,-0.344,127,0.946677029132843,1.116133689880371,-0.4945792555809021,-0.41628098487854004,0.2028459906578064,x,0.001_0.01
2,0.1109090909090909,0.21181818181818182,8,0.19,0.28500000000000003,26,-3.4649100303649902,1.6174858808517456,0.15126164257526398,0.26526495814323425,0.12525416910648346,x,0.001_0.01
2,0.1109090909090909,0.21181818181818182,9,0.28500000000000003,0.38,10,-3.42596173286438,1.5158123970031738,0.17801205813884735,0.3159610331058502,0.11842898279428482,x,0.001_0.01
2,0.1109090909090909,0.21181818181818182,10,0.38,0.475,23,-0.8217751979827881,0.4429285526275635,0.3731364905834198,0.4205693006515503,0.1318080872297287,x,0.001_0.01
2,0.1109090909090909,0.21181818181818182,11,0.475,0.57,82,0.10817268490791321,0.9368051290512085,0.5044984221458435,0.5065789818763733,0.15091493725776672,x,0.001_0.01
3,0.21181818181818182,0.31272727272727274,1,-0.57,-0.45699999999999996,83,0.2581191658973694,0.14606498181819916,-0.5309703946113586,-0.4963566064834595,0.2658768594264984,x,0.001_0.01
3,0.21181818181818182,0.31272727272727274,2,-0.45699999999999996,-0.344,52,0.9923117756843567,0.6622782945632935,-0.5205055475234985,-0.4199402630329132,0.2665906548500061,x,0.001_0.01
3,0.21181818181818182,0.31272727272727274,11,0.475,0.57,5,0.11599566787481308,0.6309925317764282,0.5144354104995728,0.5035117268562317,0.22283442318439484,x,0.001_0.01
4,0.31272727272727274,0.41363636363636364,1,-0.57,-0.45699999999999996,11,0.16987495124340057,0.1271326094865799,-0.5415030121803284,-0.5072917342185974,0.3577255308628082,x,0.001_0.01
4,0.31272727272727274,0.41363636363636364,2,-0.45699999999999996,-0.344,9,1.119545817375183,0.11572004854679108,-0.5547811985015869,-0.3952713906764984,0.36350420117378235,x,0.001_0.01
0,0.0,0.01,0,-inf,-0.52,376,0.7149121165275574,0.8780434727668762,-0.5586036443710327,-0.5554250478744507,0.029899414628744125,y,0.001_0.01
0,0.0,0.01,1,-0.52,-0.4146,537,1.202014446258545,1.0925112962722778,-0.4648749530315399,-0.4671768546104431,0.030980072915554047,y,0.001_0.01
0,0.0,0.01,2,-0.4146,-0.30920000000000003,3901,-3.0093140602111816,3.84725284576416,-0.34042859077453613,-0.3480246067047119,0.010786418803036213,y,0.001_0.01
0,0.0,0.01,3,-0.30920000000000003,-0.20379999999999998,8370,-0.9839898943901062,6.200913906097412,-0.24383127689361572,-0.24608856439590454,0.00958778616040945,y,0.001_0.01
0,0.0,0.01,4,-0.20379999999999998,-0.09839999999999999,11977,0.8333649635314941,9.901538848876953,-0.15056738257408142,-0.1505872756242752,0.011281892657279968,y,0.001_0.01
0,0.0,0.01,5,-0.09839999999999999,0.006999999999999999,11938,6.054076194763184,183.40603637695312,-0.04861503839492798,-0.04681352525949478,0.017228461802005768,y,0.001_0.01
0,0.0,0.01,7,0.10700000000000001,0.2056,12508,-4.722192764282227,10.244420051574707,0.148879736661911,0.15692782402038574,0.02183489315211773,y,0.001_0.01
0,0.0,0.01,8,0.2056,0.3042,15045,-2.209282875061035,5.377350807189941,0.2545029819011688,0.25977158546447754,0.019465718418359756,y,0.001_0.01
