total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis,eps
0,0.0,0.0,1,-0.57,-0.45699999999999996,4063,-0.1373116374015808,0.8966025710105896,-0.4799937605857849,-0.5039585828781128,0.199366956949234,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,2,-0.45699999999999996,-0.344,144739,0.36650118231773376,6.725377082824707,-0.3736054003238678,-0.3757858872413635,0.15106678009033203,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,3,-0.344,-0.23099999999999998,90858,0.432984322309494,1.9674391746520996,-0.2878299057483673,-0.2876285910606384,0.63760906457901,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,4,-0.23099999999999998,-0.118,102882,0.7544256448745728,3.715369701385498,-0.18111552298069,-0.17325451970100403,0.5820066928863525,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,5,-0.118,-0.0050000000000000044,140103,5.726619720458984,43.90470504760742,-0.10677129775285721,-0.05372060835361481,0.37710022926330566,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,7,0.095,0.19,76454,0.4788447618484497,4.532542705535889,0.1788329780101776,0.1411394476890564,0.4198155999183655,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,8,0.19,0.28500000000000003,62050,0.29747140407562256,2.1667582988739014,0.253044068813324,0.23653914034366608,0.4976274073123932,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,9,0.28500000000000003,0.38,71343,-0.013958506286144257,1.8605808019638062,0.3422551453113556,0.33738696575164795,0.22045399248600006,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,10,0.38,0.475,12672,-0.41068702936172485,1.8500317335128784,0.4027153551578522,0.40145212411880493,0.2498924732208252,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,11,0.475,0.57,2475,0.12225520610809326,0.45247530937194824,0.5123419761657715,0.5094670057296753,0.23072803020477295,x,1.8_1.9_2.0_2.1_2.2
0,0.0,0.0,12,0.57,inf,55,-0.09900110960006714,0.06095001474022865,0.5235771536827087,0.5808950066566467,1.389776349067688,x,1.8_1.9_2.0_2.1_2.2
1,0.0,0.02631578947368421,1,-0.57,-0.45699999999999996,4063,-0.1373116374015808,0.8966025710105896,-0.4799937605857849,-0.5039585828781128,0.199366956949234,x,1.8_1.9_2.0_2.1_2.2
1,0.0,0.02631578947368421,2,-0.45699999999999996,-0.344,144739,0.36650118231773376,6.725377082824707,-0.3736054003238678,-0.3757858872413635,0.15106678009033203,x,1.8_1.9_2.0_2.1_2.2
