group,run,uuid,enable,num_f,epochb,lrbl,lambdap,train_lr,note,sunlamp_angle_mean,sunlamp_angle_std,sunlamp_dist_mean,lightbox_angle_mean,lightbox_angle_std,lightbox_dist_mean,val_angle_mean,val_angle_std,val_dist_mean,common_config
baseline,e24d72fb_base,e24d72fb-b4d7-4c40-b00a-a4aa2f8213e8,-,-,-,-,-,1e-4,"原始模型,50ep,无微调",4.4662,9.8754,0.1139,3.6472,12.0366,0.0781,0.8746,2.0774,0.0248,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
single_var,A_stable_default,[Stable Learning]f869fdd5-8846-443a-b75e-e15a63738e93,True,1,20,1.0,70.0,1e-4,官方默认,4.5817,11.1358,0.1362,3.7987,12.5340,0.0972,0.9554,2.0713,0.0546,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
single_var,B_plain,b8752da5-ed2e-40e8-94fd-5a30c08be394,False,1,20,1.0,70.0,1e-4,plain对照(enable=False),4.5667,12.5009,0.1099,3.8693,14.3912,0.0752,0.8270,1.1747,0.0232,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
single_var,C_lambdap40,e3aca5e2-b7c1-451d-bc73-96a1ae8a90a2,True,1,20,1.0,40.0,1e-4,lambdap 70→40,4.8384,11.8672,0.1141,4.1737,14.0597,0.0839,0.8975,1.9933,0.0271,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
single_var,D_lambdap20,32319e4f-b39c-4b23-8ff1-540e460ec9d4,True,1,20,1.0,20.0,1e-4,lambdap 70→20,4.6419,11.8259,0.1414,3.4877,11.5283,0.0920,0.8454,2.5368,0.0539,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
single_var,F_lrbl3,0de724f8-d3fd-42b7-a144-176ff752b29f,True,1,20,3.0,70.0,1e-4,lrbl 1.0→3.0,4.6957,11.4978,0.1217,3.9020,13.0198,0.0799,1.0207,2.2011,0.0266,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(3,20)",939e0f35-2070-4638-85d2-e9e539e51fa7,True,3,20,1.0,70.0,1e-4,,5.0100,13.2347,0.1425,4.0189,13.7764,0.0951,1.2769,1.5780,0.0576,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(3,30)=E",90e03184-e647-4932-a979-31b822f3bd85,True,3,30,1.0,70.0,1e-4,,4.0314,9.3348,0.1079,3.5428,13.0234,0.0726,1.0719,2.1298,0.0312,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(3,50)",dc101746-0f0d-40f3-b4dc-6d5ad00bfb97,True,3,50,1.0,70.0,1e-4,,5.4831,13.6857,0.1289,4.5302,15.5478,0.0948,1.0230,1.5606,0.0355,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(5,20)",f651cec9-9492-47c1-9d5b-798e33e438ae,True,5,20,1.0,70.0,1e-4,,5.3461,13.1869,0.1197,4.1572,14.8884,0.0828,0.8906,1.6302,0.0334,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(5,30)",792f8018-9124-4be8-a15c-83fc0231725f,True,5,30,1.0,70.0,1e-4,,5.0104,12.7479,0.1167,4.1334,14.4154,0.0871,0.9977,2.5149,0.0431,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(5,50)",d0f7d77d-d154-4c74-a57c-0fc97920863f,True,5,50,1.0,70.0,1e-4,,4.6812,11.6260,0.1321,3.9431,14.6763,0.0843,0.8327,2.0153,0.0384,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(10,20)",0198b01e-0763-4248-b89e-cac01f9061d1,True,10,20,1.0,70.0,1e-4,,5.4576,13.7319,0.1342,4.1649,14.3801,0.0851,0.9389,3.0001,0.0333,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(10,30)",ec0ad17a-c96e-4771-b547-cc3651eeb855,True,10,30,1.0,70.0,1e-4,,4.4424,11.0443,0.1189,3.5404,12.1174,0.0842,0.8547,1.9200,0.0260,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
grid,"(10,50)",c8bae526-5c38-48c5-b1b1-341947486388,True,10,50,1.0,70.0,1e-4,,5.0833,13.2644,0.1134,4.3548,15.9781,0.0847,0.8688,1.4086,0.0352,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
lr_sweep,E_lr1e-4,90e03184-e647-4932-a979-31b822f3bd85,True,3,30,1.0,70.0,1e-4,,4.0314,9.3348,0.1079,3.5428,13.0234,0.0726,1.0719,2.1298,0.0312,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
lr_sweep,L1_lr5e-5,589510f6-cc5e-4e35-a6e3-4f6b0b3d6031,True,3,30,1.0,70.0,5e-5,,4.0347,8.6829,0.1119,3.3261,11.6826,0.0764,0.6939,1.9342,0.0270,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
lr_sweep,L2_lr2e-5,61d0eb63-2931-4735-9e3e-56d5b63f9c91,True,3,30,1.0,70.0,2e-5,,4.0291,8.8292,0.1070,3.2008,11.1421,0.0693,0.6164,2.0810,0.0169,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
lr_sweep,L3_lr1e-5,d58d5405-b8f4-4933-9f88-a0c0b7c18ce6,True,3,30,1.0,70.0,1e-5,,4.0138,9.3109,0.1094,3.0103,9.6532,0.0698,0.6077,1.8765,0.0225,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
lr_sweep,L4_lr5e-6,2f7e66b1-e0d3-4735-a515-71c8e7c39393,True,3,30,1.0,70.0,5e-6,,4.1208,9.9764,0.1114,3.2522,11.2631,0.0711,0.6032,1.9729,0.0198,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
lr_sweep,L5_lr2e-6,443c397c-0f9e-49bb-a34a-f87a66a29382,True,3,30,1.0,70.0,2e-6,,3.8378,8.2197,0.1099,3.3102,11.7321,0.0705,0.6112,2.0128,0.0188,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
lr_sweep,L6_lr1e-6,ea82fb54-153d-4c37-a774-175e3114423a,True,3,30,1.0,70.0,1e-6,,3.8615,8.3903,0.1083,3.2882,11.4624,0.0699,0.6200,1.9894,0.0178,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
lr_sweep,L7_lr5e-7,8f55f1dd-4103-432b-85c7-7b3431bfb89a,True,3,30,1.0,70.0,5e-7,,4.0918,9.5922,0.1097,3.2601,10.9354,0.0702,0.6201,2.0205,0.0174,"e24d72fb续训;coordinates_DER;vitl16;lora_r1;AdamW;batch16;augmix;10ep;seed42;presave_ratio=0.9;epochp=0;n_feature=16(1xbatch,k组全局记忆未实现);decay_pow=2;first_step_cons=1"
